X,Y,Profundidade,Rugosidade,Z,Nó
694764.3337,7460138.872,7.1551,0.02,-7.1551,270
694737.9636,7460153.742,7.1071,0.02,-7.1071,271
694711.5935,7460168.613,6.7231,0.02,-6.7231,272
694692.9298,7460178.759,6.6014,0.02,-6.6014,273
694674.266,7460188.906,6.4377,0.02,-6.4377,274
694647.54,7460246.9,5.2551,0.02,-5.2551,275
694639.5719,7460227.709,5.5953,0.02,-5.5953,276
694631.6038,7460208.518,5.8137,0.02,-5.8137,277
694563.59,7460340.4,2.1101,0.02,-2.1101,278
694576.205,7460326.6,2.2148,0.02,-2.2148,279
694588.82,7460312.8,2.4945,0.02,-2.4945,280
694598.0408,7460294.574,3.0563,0.02,-3.0563,281
694607.2616,7460276.348,3.7426,0.02,-3.7426,282
694611.0647,7460263.627,4.1679,0.02,-4.1679,283
694631.2039,7460248.903,4.9744,0.02,-4.9744,284
694614.8677,7460250.906,4.4943,0.02,-4.4943,285
695025.9498,7459827.506,12.2717,0.02,-12.2717,286
695066.9271,7459788.168,12.5561,0.02,-12.5561,287
694984.9724,7459866.844,11.9296,0.02,-11.9296,288
695155.282,7459710.035,13.1311,0.02,-13.1311,289
695111.1046,7459749.102,12.7229,0.02,-12.7229,290
694949.5448,7459902.288,11.5575,0.02,-11.5575,291
694914.1172,7459937.732,11.2174,0.02,-11.2174,292
694885.8047,7459966.045,10.9808,0.02,-10.9808,293
694857.4921,7459994.358,10.6704,0.02,-10.6704,294
694834.8398,7460023.617,9.9248,0.02,-9.9248,295
694812.1875,7460052.875,9.3907,0.02,-9.3907,296
694788.2606,7460095.874,7.9464,0.02,-7.9464,297
694618.2312,7460194.008,5.7354,0.02,-5.7354,298
694657.0743,7460166.593,6.9216,0.02,-6.9216,299
694604.8585,7460179.497,5.6561,0.02,-5.6561,300
694639.8826,7460144.28,7.7247,0.02,-7.7247,301
694613.6945,7460115.968,7.7952,0.02,-7.7952,302
694626.7886,7460130.124,7.8369,0.02,-7.8369,303
694708.1344,7460111.906,9.0193,0.02,-9.0193,304
694745.67,7460053.395,11.484,0.02,-11.484,305
694688.7124,7460133.65,8.0811,0.02,-8.0811,306
694727.5564,7460090.163,9.8895,0.02,-9.8895,307
694763.7837,7460016.628,11.8501,0.02,-11.8501,308
694672.8933,7460150.121,7.4324,0.02,-7.4324,309
694652.8569,7460121.484,8.5656,0.02,-8.5656,310
694620.4879,7460233.706,4.9673,0.02,-4.9673,311
694601.4039,7460239.703,4.3161,0.02,-4.3161,312
694609.7719,7460218.509,4.9223,0.02,-4.9223,313
694595.7521,7460187.63,5.1824,0.02,-5.1824,314
694602.762,7460203.069,5.0417,0.02,-5.0417,315
694550.39,7460336.65,2.0732,0.02,-2.0732,316
